date,timestamp,site,region,vendor,service_type,volume,capacity,sla_pct,backlog,overtime_hours,operating_cost,cost_per_unit,avg_tat_mins,quality_pct,exceptions,utilization_pct
2026-01-02,2026-01-02 04:04,Pune Hub,West,Axis Logistics,Express,126,125,91.56,13,8.0,8142.41,64.62,47.0,99.65,1,100.8
2026-01-02,2026-01-02 05:17,Delhi Hub,North,RapidEx,Express,223,211,96.34,8,6.94,14110.68,63.28,49.2,99.22,1,105.69
2026-01-02,2026-01-02 06:30,Mumbai Hub,West,PrimeMove,Standard,117,201,100,0,0,5848.07,49.98,39.8,99.23,0,58.21
2026-01-02,2026-01-02 07:43,Hyderabad Hub,South,Axis Logistics,Express,142,158,98.44,0,7.37,8618.69,60.7,46.1,99.23,0,89.87
2026-01-02,2026-01-02 08:56,Hyderabad Hub,South,MetroServe,Standard,194,145,93.36,13,21.36,12071.91,62.23,65.4,99.63,3,133.79
2026-01-02,2026-01-02 09:09,Hyderabad Hub,South,PrimeMove,Standard,194,143,91.34,58,24.22,12046.18,62.09,75.8,98.13,4,135.66
2026-01-02,2026-01-02 10:22,Hyderabad Hub,South,PrimeMove,Standard,164,143,93.67,23,10.54,9241.41,56.35,62.9,98.03,2,114.69
2026-01-02,2026-01-02 11:35,Chennai Hub,South,RapidEx,Standard,113,141,100,2,4.16,5672.21,50.2,39.6,99.83,0,80.14
2026-01-02,2026-01-02 12:48,Pune Hub,West,SwiftLog,Express,160,136,97.9,0,7.74,9929.83,62.06,54.3,98.89,1,117.65
2026-01-02,2026-01-02 13:01,Chennai Hub,South,SwiftLog,Priority,140,165,100,0,6.81,9158.55,65.42,37.0,99.23,0,84.85
2026-01-02,2026-01-02 14:14,Mumbai Hub,West,Axis Logistics,Express,148,208,98.34,0,0,9006.11,60.85,44.6,98.22,0,71.15
2026-01-02,2026-01-02 15:27,Delhi Hub,North,RapidEx,Standard,181,180,94.97,7,2.91,9272.07,51.23,46.6,98.76,1,100.56
2026-01-02,2026-01-02 16:40,Mumbai Hub,West,PrimeMove,Express,152,240,100,0,0,8814.36,57.99,44.3,98.85,0,63.33
2026-01-02,2026-01-02 17:53,Mumbai Hub,West,RapidEx,Same Day,288,176,85.19,98,31.38,23389.52,81.21,87.7,98.08,4,163.64
2026-01-02,2026-01-02 18:06,Bengaluru Hub,South,Axis Logistics,Priority,249,181,86.65,38,20.27,17744.72,71.26,76.6,99.04,3,137.57
2026-01-02,2026-01-02 19:19,Chennai Hub,South,Axis Logistics,Standard,149,164,93.22,0,2.02,7623.37,51.16,41.6,98.94,1,90.85
2026-01-02,2026-01-02 20:32,Delhi Hub,North,RapidEx,Priority,186,209,98.56,0,4.58,12225.16,65.73,39.8,98.35,0,89.0
2026-01-02,2026-01-02 21:45,Delhi Hub,North,SwiftLog,Standard,179,240,100,0,1.36,8500.15,47.49,45.0,99.17,0,74.58
2026-01-02,2026-01-02 22:58,Mumbai Hub,West,MetroServe,Express,224,225,99.76,8,6.71,14074.87,62.83,46.0,99.0,0,99.56
2026-01-02,2026-01-02 23:11,Pune Hub,West,PrimeMove,Express,117,150,100,0,0,6995.44,59.79,47.4,99.42,0,78.0
2026-01-03,2026-01-03 00:24,Chennai Hub,South,RapidEx,Express,117,101,95.31,41,13.61,7670.25,65.56,58.7,98.24,2,115.84
2026-01-03,2026-01-03 01:37,Bengaluru Hub,South,SwiftLog,Same Day,170,163,97.32,4,3.63,11346.17,66.74,44.5,99.34,0,104.29
2026-01-03,2026-01-03 02:50,Chennai Hub,South,PrimeMove,Standard,120,115,95.88,15,7.34,6737.58,56.15,54.8,98.83,0,104.35
2026-01-03,2026-01-03 03:03,Delhi Hub,North,MetroServe,Standard,151,164,99.59,0,5.69,8216.72,54.42,38.7,99.88,0,92.07
2026-01-03,2026-01-03 04:16,Chennai Hub,South,PrimeMove,Standard,83,124,100,0,0,4214.0,50.77,46.5,99.02,0,66.94
2026-01-03,2026-01-03 05:29,Bengaluru Hub,South,RapidEx,Standard,122,161,96.99,0,0,6402.53,52.48,38.5,98.97,0,75.78
2026-01-03,2026-01-03 06:42,Delhi Hub,North,PrimeMove,Express,154,193,96.77,0,0,9229.47,59.93,39.6,99.0,0,79.79
2026-01-03,2026-01-03 07:55,Hyderabad Hub,South,MetroServe,Express,145,139,96.75,13,8.7,9205.93,63.49,50.2,100,0,104.32
2026-01-03,2026-01-03 08:08,Hyderabad Hub,South,PrimeMove,Standard,157,151,96.07,20,5.24,7926.49,50.49,53.5,99.88,0,103.97
2026-01-03,2026-01-03 09:21,Delhi Hub,North,SwiftLog,Same Day,219,162,92.88,48,20.08,16408.06,74.92,69.8,99.88,4,135.19
2026-01-03,2026-01-03 10:34,Mumbai Hub,West,MetroServe,Same Day,150,155,98.22,0,0,9966.03,66.44,48.5,98.89,0,96.77
2026-01-03,2026-01-03 11:47,Hyderabad Hub,South,SwiftLog,Priority,141,134,98.75,18,10.28,8968.09,63.6,57.4,98.89,1,105.22
2026-01-03,2026-01-03 12:00,Hyderabad Hub,South,Axis Logistics,Express,121,153,96.81,0,4.34,7457.96,61.64,38.8,98.54,0,79.08
2026-01-03,2026-01-03 13:13,Delhi Hub,North,SwiftLog,Standard,81,145,100,0,0,3916.0,48.35,42.0,98.52,0,55.86
2026-01-03,2026-01-03 14:26,Bengaluru Hub,South,Axis Logistics,Express,127,137,96.08,0,4.75,7709.7,60.71,44.0,98.95,0,92.7
2026-01-03,2026-01-03 15:39,Mumbai Hub,West,RapidEx,Priority,169,186,100,0,3.4,10307.11,60.99,49.0,99.29,0,90.86
2026-01-03,2026-01-03 16:52,Delhi Hub,North,MetroServe,Standard,139,162,97.98,0,4.13,7057.04,50.77,44.0,98.67,0,85.8
2026-01-03,2026-01-03 17:05,Bengaluru Hub,South,Axis Logistics,Standard,104,151,94.73,0,0,5032.26,48.39,37.3,100,1,68.87
2026-01-03,2026-01-03 18:18,Delhi Hub,North,MetroServe,Same Day,262,167,85.47,87,25.49,20219.66,77.17,88.6,98.39,4,156.89
2026-01-03,2026-01-03 19:31,Pune Hub,West,PrimeMove,Standard,117,116,97.98,0,5.21,5887.18,50.32,43.2,98.92,0,100.86
2026-01-03,2026-01-03 20:44,Mumbai Hub,West,RapidEx,Priority,176,164,93.42,20,8.74,11254.41,63.95,49.9,99.5,2,107.32
2026-01-03,2026-01-03 21:57,Pune Hub,West,Axis Logistics,Standard,50,98,98.23,0,0,2407.87,48.16,43.0,98.65,0,51.02
2026-01-03,2026-01-03 22:10,Hyderabad Hub,South,PrimeMove,Same Day,118,143,100,0,2.97,7575.8,64.2,46.0,98.57,0,82.52
2026-01-03,2026-01-03 23:23,Delhi Hub,North,PrimeMove,Priority,134,179,100,0,0,7960.81,59.41,33.3,99.27,0,74.86
2026-01-04,2026-01-04 00:36,Delhi Hub,North,Axis Logistics,Priority,154,143,92.67,19,12.19,9980.47,64.81,53.8,98.99,2,107.69
2026-01-04,2026-01-04 01:49,Delhi Hub,North,SwiftLog,Standard,118,146,97.57,0,1.71,5837.75,49.47,40.0,98.49,0,80.82
2026-01-04,2026-01-04 02:02,Bengaluru Hub,South,MetroServe,Standard,107,183,98.93,0,0,5566.74,52.03,44.4,99.85,0,58.47
2026-01-04,2026-01-04 03:15,Delhi Hub,North,SwiftLog,Same Day,153,165,100,0,4.71,9950.2,65.03,47.0,99.25,0,92.73
2026-01-04,2026-01-04 04:28,Delhi Hub,North,RapidEx,Express,114,180,99.91,0,0,6667.4,58.49,46.1,98.82,0,63.33
2026-01-04,2026-01-04 05:41,Chennai Hub,South,PrimeMove,Standard,88,112,99.79,0,3.15,4283.51,48.68,53.2,98.65,0,78.57
2026-01-04,2026-01-04 06:54,Bengaluru Hub,South,Axis Logistics,Standard,103,164,95.67,0,0,4972.35,48.28,44.6,99.07,0,62.8
2026-01-04,2026-01-04 07:07,Chennai Hub,South,Axis Logistics,Express,107,108,96.89,0,7.29,6686.2,62.49,49.7,98.89,0,99.07
2026-01-04,2026-01-04 08:20,Pune Hub,West,MetroServe,Same Day,139,126,93.2,15,9.56,9221.15,66.34,53.5,98.83,2,110.32
2026-01-04,2026-01-04 09:33,Delhi Hub,North,SwiftLog,Standard,152,166,100,0,1.78,7337.07,48.27,32.5,98.81,0,91.57
2026-01-04,2026-01-04 10:46,Hyderabad Hub,South,MetroServe,Priority,152,123,94.26,4,13.99,10014.24,65.88,57.4,99.29,2,123.58
2026-01-04,2026-01-04 11:59,Pune Hub,West,Axis Logistics,Priority,100,122,97.93,0,0.89,6072.07,60.72,39.2,98.51,0,81.97
2026-01-04,2026-01-04 12:12,Hyderabad Hub,South,Axis Logistics,Same Day,131,130,93.9,30,1.61,8215.56,62.71,49.1,99.51,1,100.77
2026-01-04,2026-01-04 13:25,Chennai Hub,South,PrimeMove,Standard,107,128,100,17,3.23,5510.87,51.5,47.9,98.05,0,83.59
2026-01-04,2026-01-04 14:38,Chennai Hub,South,MetroServe,Standard,94,118,100,0,0,4389.45,46.7,47.4,98.77,0,79.66
2026-01-04,2026-01-04 15:51,Pune Hub,West,PrimeMove,Express,120,112,96.89,0,10.97,7520.75,62.67,57.0,99.71,1,107.14
2026-01-04,2026-01-04 16:04,Delhi Hub,North,SwiftLog,Standard,107,149,100,0,0,5466.73,51.09,45.9,98.37,0,71.81
2026-01-04,2026-01-04 17:17,Pune Hub,West,PrimeMove,Same Day,153,122,98.48,11,14.02,10932.3,71.45,63.7,98.76,1,125.41
2026-01-04,2026-01-04 18:30,Mumbai Hub,West,RapidEx,Express,200,161,91.92,34,15.26,13673.49,68.37,61.0,97.92,3,124.22
2026-01-04,2026-01-04 19:43,Hyderabad Hub,South,MetroServe,Express,154,100,83.05,61,28.08,10981.23,71.31,86.8,97.62,4,154.0
2026-01-04,2026-01-04 20:56,Chennai Hub,South,SwiftLog,Standard,100,122,100,0,0,4979.01,49.79,47.6,98.44,0,81.97
2026-01-04,2026-01-04 21:09,Hyderabad Hub,South,PrimeMove,Standard,152,127,96.14,19,9.92,8598.89,56.57,60.7,98.56,1,119.69
2026-01-04,2026-01-04 22:22,Delhi Hub,North,RapidEx,Standard,137,152,99.32,0,2.95,7157.63,52.25,52.0,98.91,0,90.13
2026-01-04,2026-01-04 23:35,Mumbai Hub,West,SwiftLog,Standard,133,173,100,0,1.71,6757.59,50.81,40.0,98.69,0,76.88
2026-01-05,2026-01-05 00:48,Chennai Hub,South,Axis Logistics,Priority,120,108,94.44,4,11.07,7792.29,64.94,59.9,99.73,2,111.11
2026-01-05,2026-01-05 01:01,Bengaluru Hub,South,SwiftLog,Same Day,219,156,94.21,40,19.98,16462.4,75.17,75.1,98.54,3,140.38
2026-01-05,2026-01-05 02:14,Chennai Hub,South,PrimeMove,Express,130,171,100,0,1.4,7369.13,56.69,46.6,99.03,0,76.02
2026-01-05,2026-01-05 03:27,Mumbai Hub,West,MetroServe,Express,98,187,98.77,0,0,5772.75,58.91,43.1,99.18,0,52.41
2026-01-05,2026-01-05 04:40,Pune Hub,West,MetroServe,Express,150,145,96.47,0,8.22,9313.41,62.09,54.1,99.62,0,103.45
2026-01-05,2026-01-05 05:53,Hyderabad Hub,South,Axis Logistics,Standard,143,150,96.24,7,5.81,7917.65,55.37,46.7,98.26,0,95.33
2026-01-05,2026-01-05 06:06,Bengaluru Hub,South,PrimeMove,Express,140,187,99.99,0,0,8067.5,57.63,39.9,98.51,0,74.87
2026-01-05,2026-01-05 07:19,Delhi Hub,North,SwiftLog,Standard,182,210,99.55,0,4.5,9229.3,50.71,33.4,99.76,0,86.67
2026-01-05,2026-01-05 08:32,Pune Hub,West,MetroServe,Standard,128,126,97.87,16,6.5,7078.41,55.3,51.7,98.9,0,101.59
2026-01-05,2026-01-05 09:45,Pune Hub,West,SwiftLog,Standard,119,150,99.88,0,3.65,6357.17,53.42,43.2,98.8,0,79.33
2026-01-05,2026-01-05 10:58,Pune Hub,West,PrimeMove,Express,121,124,100,11,0.98,7332.5,60.6,48.1,98.0,0,97.58
2026-01-05,2026-01-05 11:11,Hyderabad Hub,South,MetroServe,Express,162,167,96.46,0,6.2,10317.84,63.69,42.7,98.87,0,97.01
2026-01-05,2026-01-05 12:24,Mumbai Hub,West,PrimeMove,Standard,188,208,97.16,0,6.66,9864.38,52.47,45.1,98.12,0,90.38
2026-01-05,2026-01-05 13:37,Chennai Hub,South,SwiftLog,Standard,90,154,100,0,0,4218.41,46.87,48.8,99.68,0,58.44
2026-01-05,2026-01-05 14:50,Bengaluru Hub,South,SwiftLog,Standard,157,199,100,0,1.16,7667.0,48.83,45.2,98.76,0,78.89
2026-01-05,2026-01-05 15:03,Hyderabad Hub,South,SwiftLog,Same Day,162,151,97.85,9,6.82,11112.34,68.59,48.0,98.18,1,107.28
2026-01-05,2026-01-05 16:16,Pune Hub,West,PrimeMove,Express,101,111,98.49,0,6.71,6029.34,59.7,47.1,98.5,0,90.99
2026-01-05,2026-01-05 17:29,Bengaluru Hub,South,RapidEx,Standard,167,201,96.21,0,0.21,8209.35,49.16,39.5,99.43,0,83.08
2026-01-05,2026-01-05 18:42,Pune Hub,West,RapidEx,Express,162,129,92.27,34,16.73,11006.6,67.94,62.0,98.65,3,125.58
2026-01-05,2026-01-05 19:55,Chennai Hub,South,PrimeMove,Priority,129,131,100,0,10.03,8612.86,66.77,51.9,98.69,0,98.47
2026-01-05,2026-01-05 20:08,Mumbai Hub,West,Axis Logistics,Standard,146,150,92.81,2,5.79,8099.74,55.48,49.3,99.28,1,97.33
2026-01-05,2026-01-05 21:21,Pune Hub,West,PrimeMove,Standard,67,124,100,0,0,3283.8,49.01,43.4,99.36,0,54.03
2026-01-05,2026-01-05 22:34,Hyderabad Hub,South,RapidEx,Priority,166,160,94.26,26,7.04,10271.25,61.87,53.3,99.05,1,103.75
2026-01-05,2026-01-05 23:47,Hyderabad Hub,South,RapidEx,Same Day,173,183,99.67,12,0.48,10942.66,63.25,43.2,99.22,0,94.54
2026-01-06,2026-01-06 00:00,Delhi Hub,North,SwiftLog,Standard,217,203,96.72,2,10.23,12391.55,57.1,54.1,98.99,1,106.9
2026-01-06,2026-01-06 01:13,Chennai Hub,South,Axis Logistics,Standard,105,152,97.1,0,0,5340.66,50.86,40.1,99.06,0,69.08
2026-01-06,2026-01-06 02:26,Bengaluru Hub,South,RapidEx,Express,205,192,95.66,8,12.17,12770.2,62.29,49.4,98.67,1,106.77
2026-01-06,2026-01-06 03:39,Pune Hub,West,PrimeMove,Standard,108,130,99.9,0,0,5653.58,52.35,46.5,99.33,0,83.08
2026-01-06,2026-01-06 04:52,Hyderabad Hub,South,MetroServe,Standard,103,165,99.07,0,0,5002.59,48.57,42.7,99.03,0,62.42
2026-01-06,2026-01-06 05:05,Hyderabad Hub,South,PrimeMove,Express,107,146,100,0,0,6568.19,61.38,39.5,99.14,0,73.29
2026-01-06,2026-01-06 06:18,Pune Hub,West,SwiftLog,Standard,114,137,98.38,0,0,5573.39,48.89,45.2,99.3,0,83.21
2026-01-06,2026-01-06 07:31,Mumbai Hub,West,RapidEx,Express,153,207,97.84,0,3.31,9171.32,59.94,38.5,99.38,0,73.91
2026-01-06,2026-01-06 08:44,Delhi Hub,North,PrimeMove,Priority,173,195,99.9,0,2.56,10815.97,62.52,40.4,99.35,0,88.72
2026-01-06,2026-01-06 09:57,Bengaluru Hub,South,SwiftLog,Express,173,178,98.45,0,7.5,10679.67,61.73,53.8,99.34,0,97.19
2026-01-06,2026-01-06 10:10,Bengaluru Hub,South,MetroServe,Priority,194,238,100,0,0,11945.83,61.58,47.4,99.34,0,81.51
2026-01-06,2026-01-06 11:23,Hyderabad Hub,South,Axis Logistics,Express,139,179,94.86,0,1.8,8356.45,60.12,37.8,98.11,1,77.65
2026-01-06,2026-01-06 12:36,Bengaluru Hub,South,Axis Logistics,Same Day,144,176,95.34,0,4.22,9477.73,65.82,46.3,98.66,0,81.82
2026-01-06,2026-01-06 13:49,Bengaluru Hub,South,PrimeMove,Standard,170,192,100,5,2.86,8310.48,48.89,45.0,99.16,0,88.54
2026-01-06,2026-01-06 14:02,Chennai Hub,South,Axis Logistics,Priority,155,110,85.2,28,18.19,10741.97,69.3,73.2,99.15,3,140.91
2026-01-06,2026-01-06 15:15,Chennai Hub,South,RapidEx,Same Day,174,139,93.18,29,19.62,12432.05,71.45,62.1,98.61,3,125.18
2026-01-06,2026-01-06 16:28,Hyderabad Hub,South,RapidEx,Standard,138,161,96.52,0,2.44,6663.23,48.28,34.6,99.74,0,85.71
2026-01-06,2026-01-06 17:41,Delhi Hub,North,Axis Logistics,Standard,184,172,91.71,34,8.47,10479.83,56.96,48.4,99.1,2,106.98
2026-01-06,2026-01-06 18:54,Mumbai Hub,West,SwiftLog,Standard,194,214,100,0,0.91,9210.33,47.48,42.0,99.47,0,90.65
2026-01-06,2026-01-06 19:07,Bengaluru Hub,South,RapidEx,Standard,263,180,85.25,61,21.38,15592.06,59.29,75.9,97.68,4,146.11
2026-01-06,2026-01-06 20:20,Bengaluru Hub,South,MetroServe,Express,182,181,96.47,6,7.71,11547.72,63.45,53.8,99.95,0,100.55
2026-01-06,2026-01-06 21:33,Hyderabad Hub,South,PrimeMove,Standard,131,150,98.92,0,4.12,6929.72,52.9,44.3,99.49,0,87.33
2026-01-06,2026-01-06 22:46,Delhi Hub,North,RapidEx,Express,221,225,96.52,13,2.21,13217.1,59.81,52.5,99.21,0,98.22
2026-01-06,2026-01-06 23:59,Mumbai Hub,West,PrimeMove,Standard,174,207,100,0,0,9096.04,52.28,48.0,98.63,0,84.06
2026-01-07,2026-01-07 00:12,Hyderabad Hub,South,PrimeMove,Express,189,197,98.03,9,7.93,11832.54,62.61,48.8,99.03,0,95.94
2026-01-07,2026-01-07 01:25,Mumbai Hub,West,SwiftLog,Express,233,171,92.46,36,19.76,15613.66,67.01,74.9,98.93,3,136.26
2026-01-07,2026-01-07 02:38,Bengaluru Hub,South,Axis Logistics,Standard,120,201,96.02,0,0,5781.4,48.18,41.8,99.78,0,59.7
2026-01-07,2026-01-07 03:51,Mumbai Hub,West,RapidEx,Priority,180,174,97.56,22,6.44,11202.58,62.24,48.0,98.81,0,103.45
2026-01-07,2026-01-07 04:04,Mumbai Hub,West,SwiftLog,Express,169,223,100,0,0,9544.28,56.48,46.9,99.84,0,75.78
2026-01-07,2026-01-07 05:17,Bengaluru Hub,South,MetroServe,Express,170,198,98.41,0,7.06,10471.28,61.6,36.8,97.98,0,85.86
2026-01-07,2026-01-07 06:30,Hyderabad Hub,South,PrimeMove,Same Day,142,131,97.99,36,14.35,9905.58,69.76,62.8,98.03,1,108.4
2026-01-07,2026-01-07 07:43,Hyderabad Hub,South,MetroServe,Same Day,158,133,91.25,38,11.82,10767.34,68.15,59.7,98.81,2,118.8
2026-01-07,2026-01-07 08:56,Delhi Hub,North,RapidEx,Standard,205,151,88.76,43,20.83,12280.47,59.9,75.7,98.3,4,135.76
2026-01-07,2026-01-07 09:09,Bengaluru Hub,South,RapidEx,Standard,150,164,99.63,0,0.26,7719.59,51.46,42.4,99.62,0,91.46
2026-01-07,2026-01-07 10:22,Pune Hub,West,PrimeMove,Standard,147,175,100,0,0.49,7182.67,48.86,38.6,99.83,0,84.0
2026-01-07,2026-01-07 11:35,Bengaluru Hub,South,PrimeMove,Express,151,179,100,0,0,9109.48,60.33,41.2,99.46,0,84.36
2026-01-07,2026-01-07 12:48,Chennai Hub,South,SwiftLog,Express,118,150,100,0,3.74,6888.92,58.38,39.5,98.65,0,78.67
2026-01-07,2026-01-07 13:01,Pune Hub,West,SwiftLog,Standard,92,118,100,7,2.54,4782.5,51.98,56.0,98.78,0,77.97
2026-01-07,2026-01-07 14:14,Pune Hub,West,Axis Logistics,Standard,125,127,93.89,3,5.72,6782.63,54.26,48.4,98.88,1,98.43
2026-01-07,2026-01-07 15:27,Chennai Hub,South,SwiftLog,Priority,118,160,100,0,0,7066.07,59.88,32.6,99.13,0,73.75
2026-01-07,2026-01-07 16:40,Bengaluru Hub,South,SwiftLog,Express,160,183,100,0,0,9781.02,61.13,40.7,99.4,0,87.43
2026-01-07,2026-01-07 17:53,Pune Hub,West,SwiftLog,Express,134,135,100,0,6.34,8141.71,60.76,45.9,98.84,0,99.26
2026-01-07,2026-01-07 18:06,Hyderabad Hub,South,Axis Logistics,Same Day,171,153,92.84,20,9.89,11543.6,67.51,59.7,98.93,2,111.76
2026-01-07,2026-01-07 19:19,Bengaluru Hub,South,PrimeMove,Standard,240,174,90.87,48,24.84,15108.41,62.95,78.8,99.1,4,137.93
2026-01-07,2026-01-07 20:32,Chennai Hub,South,PrimeMove,Standard,84,119,100,0,0,4404.37,52.43,42.6,98.61,0,70.59
2026-01-07,2026-01-07 21:45,Delhi Hub,North,MetroServe,Same Day,225,210,94.75,0,5.64,15019.41,66.75,47.7,99.02,2,107.14
2026-01-07,2026-01-07 22:58,Hyderabad Hub,South,SwiftLog,Express,114,149,100,0,0,6467.49,56.73,41.7,98.93,0,76.51
2026-01-07,2026-01-07 23:11,Hyderabad Hub,South,Axis Logistics,Same Day,143,136,94.92,14,9.73,10109.34,70.69,51.8,98.49,2,105.15
2026-01-08,2026-01-08 00:24,Mumbai Hub,West,RapidEx,Standard,186,208,97.31,17,9.98,9705.23,52.18,48.5,98.25,0,89.42
2026-01-08,2026-01-08 01:37,Chennai Hub,South,Axis Logistics,Standard,135,158,95.79,0,2.54,7246.74,53.68,43.5,98.93,0,85.44
2026-01-08,2026-01-08 02:50,Bengaluru Hub,South,SwiftLog,Express,136,181,100,0,0.88,8163.7,60.03,42.5,98.57,0,75.14
2026-01-08,2026-01-08 03:03,Pune Hub,West,RapidEx,Standard,102,143,98.23,0,0,5147.04,50.46,35.0,98.4,0,71.33
2026-01-08,2026-01-08 04:16,Mumbai Hub,West,RapidEx,Express,196,206,97.27,0,4.61,11650.09,59.44,40.8,99.28,0,95.15
2026-01-08,2026-01-08 05:29,Mumbai Hub,West,RapidEx,Standard,217,194,92.34,42,15.49,12814.85,59.05,58.9,98.94,4,111.86
2026-01-08,2026-01-08 06:42,Pune Hub,West,MetroServe,Express,125,142,96.59,11,0.72,7358.96,58.87,40.6,100,0,88.03
2026-01-08,2026-01-08 07:55,Chennai Hub,South,Axis Logistics,Same Day,130,140,93.98,9,7.94,8801.8,67.71,46.9,98.68,1,92.86
2026-01-08,2026-01-08 08:08,Chennai Hub,South,RapidEx,Same Day,211,136,85.49,52,26.16,16619.84,78.77,88.3,99.25,4,155.15
2026-01-08,2026-01-08 09:21,Mumbai Hub,West,MetroServe,Standard,168,209,96.93,0,0,8001.67,47.63,42.5,98.38,0,80.38
2026-01-08,2026-01-08 10:34,Hyderabad Hub,South,RapidEx,Standard,169,144,92.16,51,15.39,10302.75,60.96,64.2,98.16,4,117.36
2026-01-08,2026-01-08 11:47,Hyderabad Hub,South,RapidEx,Standard,124,155,96.22,0,0.85,6053.66,48.82,36.7,99.82,0,80.0
2026-01-08,2026-01-08 12:00,Delhi Hub,North,SwiftLog,Same Day,178,162,98.65,19,16.01,13127.89,73.75,58.0,99.44,2,109.88
2026-01-08,2026-01-08 13:13,Hyderabad Hub,South,MetroServe,Standard,125,151,98.25,0,0,6225.48,49.8,45.4,98.96,0,82.78
2026-01-08,2026-01-08 14:26,Delhi Hub,North,Axis Logistics,Standard,151,177,95.94,0,8.66,8607.66,57.0,34.2,98.25,0,85.31
